Chromosome	Gene name	TSS
1	DDX11L1	11869
1	DDX11L1	12010
1	WASH7P	29570
1	MIR6859-1	17436
1	MIR1302-2HG	29554
1	MIR1302-2HG	30267
1	MIR1302-2	30366
1	FAM138A	36081
1	FAM138A	36073
1	OR4G4P	52473
1	OR4G11P	57598
1	OR4G11P	62949
1	OR4F5	65419
1	OR4F5	69055
1	AL627309.1	120932
1	AL627309.1	129217
1	AL627309.1	129173
1	AL627309.1	133566
1	AL627309.1	133723
1	AL627309.3	91105
1	CICP27	131025
1	AL627309.6	135895
1	AL627309.7	137965
1	AL627309.2	140339
1	AL627309.5	149707
1	AL627309.5	146831
1	AL627309.5	173862
1	AL627309.5	168767
1	AL627309.5	169210
1	AL627309.5	169240
1	RNU6-1100P	157887
1	AL627309.4	160446
1	DDX11L17	182696
1	WASH9P	195411
1	MIR6859-2	187958
1	AP006222.1	264733
1	AP006222.1	268816
1	AP006222.1	359681
1	AP006222.1	259024
1	AP006222.1	297502
1	AP006222.2	266855
1	RPL23AP24	348366
1	AL732372.1	358857
1	AL732372.1	358872
1	AL732372.1	360057
1	AL732372.2	366151
1	AL732372.2	368450
1	AL732372.2	379972
1	AL732372.2	485208
1	AL732372.2	497259
1	AL732372.2	495476
1	AL732372.2	489553
1	AL732372.2	496605
1	AL732372.2	502508
1	AL732372.2	495368
1	AL732372.2	499175
1	AL732372.2	498976
1	AL732372.2	498456
1	AL732372.2	502598
1	AL732372.2	502873
1	AL732372.2	499002
1	AL732372.2	501607
1	AL732372.2	517252
1	AL732372.2	517225
1	AL732372.2	514413
1	AL732372.2	522928
1	WBP1LP7	439870
1	OR4F29	451678
1	CICP7	487101
1	AL732372.3	493241
1	U6	516479
1	AL669831.3	612813
1	AL669831.3	588453
1	AL669831.3	720194
1	AL669831.3	633129
1	AL669831.3	631204
1	AL669831.3	598551
1	AL669831.3	827769
1	AL669831.3	827796
1	AL669831.3	733064
1	AL669831.3	720200
1	AL669831.3	631150
1	AL669831.3	720150
1	AL669831.3	732212
1	AL669831.3	720206
1	AL669831.3	724564
1	AC114498.1	587629
1	AC114498.1	587668
1	MTND1P23	629062
1	MTND2P28	629640
1	MTCO1P12	631074
1	AC114498.2	632413
1	MTCO2P12	632757
1	MTATP8P1	633535
1	MTATP6P1	633696
1	MTCO3P12	634376
1	WBP1LP6	674842
1	OR4F16	686673
1	CICP3	722092
1	AL669831.1	778626
1	AL669831.1	774280
1	RNU6-1199P	758336
1	AL669831.2	760911
1	LINC01409	778747
1	LINC01409	778758
1	LINC01409	778760
1	LINC01409	778770
1	LINC01409	778782
1	LINC01409	778796
1	LINC01409	778802
1	LINC01409	778809
1	LINC01409	778812
1	LINC01409	778849
1	LINC01409	778930
1	LINC01409	778937
1	LINC01409	778972
1	LINC01409	784370
1	LINC01409	784396
1	LINC01409	785800
1	LINC01409	803836
1	LINC01409	803934
1	AL669831.6	781937
1	AL669831.4	817712
1	AL669831.4	810161
1	FAM87B	817371
1	LINC01128	825138
1	LINC01128	826832
1	LINC01128	827598
1	LINC01128	827603
1	LINC01128	827604
1	LINC01128	827635
1	LINC01128	827638
1	LINC01128	827652
1	LINC01128	827654
1	LINC01128	827657
1	LINC01128	827663
1	LINC01128	827667
1	LINC01128	827673
1	LINC01128	827692
1	LINC01128	827699
1	LINC01128	827700
1	LINC01128	827771
1	LINC01128	827806
1	LINC01128	827815
1	LINC01128	827821
1	LINC01128	831578
1	LINC01128	831605
1	LINC01128	851348
1	LINC00115	827522
1	AL669831.7	860226
1	AL669831.7	860227
1	FAM41C	876903
